Title,Sub Zone,Category,Date,Count,Latitude,Longitude
Afghanistan,,Confirmed,5/16/22,179321,33.93911,67.709953
Albania,,Confirmed,5/16/22,275621,41.1533,20.1683
Algeria,,Confirmed,5/16/22,265823,28.0339,1.6596
Andorra,,Confirmed,5/16/22,42156,42.5063,1.5218
Angola,,Confirmed,5/16/22,99287,-11.2027,17.8739
Antarctica,,Confirmed,5/16/22,11,-71.9499,23.347
Antigua and Barbuda,,Confirmed,5/16/22,7795,17.0608,-61.7964
Argentina,,Confirmed,5/16/22,9135308,-38.4161,-63.6167
Armenia,,Confirmed,5/16/22,422917,40.0691,45.0382
Australia,Victoria,Confirmed,5/16/22,6703295,-37.8136,144.9631
Austria,,Confirmed,5/16/22,4253741,47.5162,14.5501
Azerbaijan,,Confirmed,5/16/22,792638,40.1431,47.5769
Bahamas,,Confirmed,5/16/22,33957,25.025885,-78.035889
Bahrain,,Confirmed,5/16/22,578255,26.0275,50.55
Bangladesh,,Confirmed,5/16/22,1953049,23.685,90.3563
Barbados,,Confirmed,5/16/22,76895,13.1939,-59.5432
Belarus,,Confirmed,5/16/22,982867,53.7098,27.9534
Belgium,,Confirmed,5/16/22,4127123,50.8333,4.469936
Belize,,Confirmed,5/16/22,58028,17.1899,-88.4976
Benin,,Confirmed,5/16/22,26952,9.3077,2.3158
Bhutan,,Confirmed,5/16/22,59574,27.5142,90.4336
Bolivia,,Confirmed,5/16/22,906333,-16.2902,-63.5887
Bosnia and Herzegovina,,Confirmed,5/16/22,377579,43.9159,17.6791
Botswana,,Confirmed,5/16/22,306324,-22.3285,24.6849
Brazil,,Confirmed,5/16/22,30701900,-14.235,-51.9253
Brunei,,Confirmed,5/16/22,144956,4.5353,114.7277
Bulgaria,,Confirmed,5/16/22,1161992,42.7339,25.4858
Burkina Faso,,Confirmed,5/16/22,20899,12.2383,-1.5616
Burma,,Confirmed,5/16/22,613144,21.9162,95.956
Burundi,,Confirmed,5/16/22,41530,-3.3731,29.9189
Cabo Verde,,Confirmed,5/16/22,56115,16.5388,-23.0418
Cambodia,,Confirmed,5/16/22,136262,11.55,104.9167
Cameroon,,Confirmed,5/16/22,119780,3.848,11.5021
Canada,Manitoba,Confirmed,5/16/22,3838543,53.7609,-98.8139
Central African Republic,,Confirmed,5/16/22,14649,6.6111,20.9394
Chad,,Confirmed,5/16/22,7415,15.4542,18.7322
Chile,,Confirmed,5/16/22,3609338,-35.6751,-71.543
China,Hong Kong,Confirmed,5/16/22,2364674,22.3,114.2
Colombia,,Confirmed,5/16/22,6095316,4.5709,-74.2973
Comoros,,Confirmed,5/16/22,8108,-11.6455,43.3333
Congo,,Confirmed,5/16/22,111712,-4.0383,21.7587
Costa Rica,,Confirmed,5/16/22,866164,9.7489,-83.7534
Cote d'Ivoire,,Confirmed,5/16/22,82008,7.54,-5.5471
Croatia,,Confirmed,5/16/22,1131492,45.1,15.2
Cuba,,Confirmed,5/16/22,1104661,21.521757,-77.781167
