Country,Date,Confirmed Cases,Confirmed Deaths,Population
Afghanistan,1/1/22,158107,7356,38928341
Albania,1/1/22,210224,3217,2877800
Algeria,1/1/22,218818,6284,43851043
American Samoa,1/1/22,11,0,55197
Andorra,1/1/22,23740,140,77265
Angola,1/1/22,82398,1772,32866268
Anguilla,1/1/22,1674,5,15002
Antarctica,1/1/22,11,0,
Antigua and Barbuda,1/1/22,4283,119,97928
Argentina,1/1/22,5674428,117181,45195777
Armenia,1/1/22,344980,7975,2963234
Aruba,1/1/22,20982,181,106766
Australia,1/1/22,462955,2257,25499881
Austria,1/1/22,1274628,16845,9006400
Azerbaijan,1/1/22,617311,8365,10139175
Bahamas,1/1/22,24476,717,393248
Bahrain,1/1/22,282677,1394,1701583
Bangladesh,1/1/22,1585909,28076,164689383
Barbados,1/1/22,28810,262,287371
Belarus,1/1/22,700421,5594,9449321
Belgium,1/1/22,2105343,28331,11589616
Belize,1/1/22,32840,602,397621
Benin,1/1/22,24935,161,12123198
Bermuda,1/1/22,6420,110,62273
Bhutan,1/1/22,2660,3,771612
Bolivia,1/1/22,599753,19680,11673029
Bosnia and Herzegovina,1/1/22,291313,13442,3280815
Botswana,1/1/22,219509,2444,2351625
Brazil,1/1/22,22295621,619367,212559409
British Virgin Islands,1/1/22,3492,39,30237
Brunei,1/1/22,15470,98,437483
Bulgaria,1/1/22,748184,30983,6948445
Burkina Faso,1/1/22,17632,318,20903278
Burundi,1/1/22,27366,38,11890781
Cambodia,1/1/22,120507,3012,16718971
Cameroon,1/1/22,109367,1851,26545864
Canada,1/1/22,2256747,30616,37742157
Cape Verde,1/1/22,42463,352,555988
"Bonaire, Sint Eustatius and Saba",1/1/22,3429,23,26221
Cayman Islands,1/1/22,8943,12,65720
Central African Republic,1/1/22,12163,101,4829764
Chad,1/1/22,6183,184,16425859
Channel Islands,1/1/22,0,0,173859
Chile,1/1/22,1808398,39140,19116209
China,1/1/22,145182,5699,1471286879
Colombia,1/1/22,5169855,129986,50882884
Comoros,1/1/22,6688,157,869595
Congo (Brazzaville),1/1/22,20089,367,5518092
Congo (Kinshasa),1/1/22,74793,1205,89561404
Cook Islands,1/1/22,2,0,17564
Costa Rica,1/1/22,570556,7353,5094114
Cote d'Ivoire,1/1/22,71815,718,26378275
Croatia,1/1/22,720538,12571,4105268
Cuba,1/1/22,966473,8323,11326616
Curacao,1/1/22,22141,189,164100
Cyprus,1/1/22,169159,638,1207361
Czechia,1/1/22,2480736,36182,10708982
Denmark,1/1/22,823282,3272,5792203
Djibouti,1/1/22,13668,189,988002
Dominica,1/1/22,6862,47,71991
Dominican Republic,1/1/22,419927,4247,10847904
Ecuador,1/1/22,551620,33682,17643060
Egypt,1/1/22,386358,21768,102334403
El Salvador,1/1/22,121945,3824,6486201
Equatorial Guinea,1/1/22,13710,175,1402985
Eritrea,1/1/22,8026,76,3546427
Estonia,1/1/22,242123,1938,1326539
Eswatini,1/1/22,66241,1308,1160164
Ethiopia,1/1/22,424340,6947,114963583
Falkland Islands,1/1/22,83,0,3483
Faroe Islands,1/1/22,6081,14,48865
Fiji,1/1/22,54147,700,896444
Finland,1/1/22,277700,1728,5540718
France,1/1/22,9980940,121311,65273512
French Guiana,1/1/22,47631,338,298682
French Polynesia,1/1/22,46382,636,280904
Gabon,1/1/22,41798,288,2225728
Gambia,1/1/22,10170,343,2416664
Georgia,1/1/22,936844,13860,3989175
Germany,1/1/22,7176814,112109,83783945
Ghana,1/1/22,143997,1298,31072945
Gibraltar,1/1/22,8794,100,33691
Greece,1/1/22,1240862,20849,10423056
Greenland,1/1/22,2611,1,56772
Grenada,1/1/22,6299,200,112519
Guadeloupe,1/1/22,55795,831,400127
Guam,1/1/22,19618,270,168783
Guatemala,1/1/22,628589,16108,17915567
Guernsey,1/1/22,8081,24,
Guinea,1/1/22,32448,391,13132792
Guinea-Bissau,1/1/22,6484,149,1967998
Guyana,1/1/22,39779,1054,786559
Haiti,1/1/22,25985,766,11402533
Honduras,1/1/22,379402,10433,9904608
Hungary,1/1/22,1256415,39186,9660350
Iceland,1/1/22,27059,37,341250
India,1/1/22,34889132,481770,1380004385
Indonesia,1/1/22,4262994,144096,273523621
Iran,1/1/22,6195403,131639,83992953
Iraq,1/1/22,2093891,24163,40222503
Ireland,1/1/22,811840,5912,4937796
Isle of Man,1/1/22,13695,67,85032
Israel,1/1/22,1390053,8244,8655541
Italy,1/1/22,6266939,137513,60461828
Jamaica,1/1/22,94649,2476,2961161
Japan,1/1/22,1734329,18402,126476458
Jersey,1/1/22,19428,89,
Jordan,1/1/22,1064277,12684,10203140
Kazakhstan,1/1/22,1072999,18211,18776707
Kenya,1/1/22,297155,5381,53771300
Kiribati,1/1/22,2,0,119446
Kosovo,1/1/22,161531,2991,1935259
Kuwait,1/1/22,417723,2468,4270563
Kyrgyzstan,1/1/22,184748,2802,6524191
Laos,1/1/22,112083,374,7275556
Latvia,1/1/22,276841,4577,1886202
Lebanon,1/1/22,731288,9136,6825442
Lesotho,1/1/22,29652,671,2142252
Liberia,1/1/22,6278,287,5057677
Libya,1/1/22,388734,5710,6871287
Liechtenstein,1/1/22,6167,69,38137
Lithuania,1/1/22,526628,7412,2722291
Luxembourg,1/1/22,103766,915,625976
Madagascar,1/1/22,50279,1027,27691019
Malawi,1/1/22,75828,2368,19129955
Malaysia,1/1/22,2761472,31513,32365998
Maldives,1/1/22,95891,262,540542
Mali,1/1/22,21378,668,20250834
Malta,1/1/22,53503,477,441539
Marshall Islands,1/1/22,4,0,59194
Martinique,1/1/22,48123,777,375265
Mauritania,1/1/22,41867,870,4649660
Mauritius,1/1/22,68552,786,1271767
Mayotte,1/1/22,21911,185,272813
Mexico,1/1/22,3988916,299525,128932753
Micronesia,1/1/22,1,0,115021
Moldova,1/1/22,376434,10284,4033963
Monaco,1/1/22,4985,39,39244
Mongolia,1/1/22,693119,2060,3278292
Montenegro,1/1/22,171873,2414,628062
Montserrat,1/1/22,50,1,4999
Morocco,1/1/22,965420,14851,36910558
Mozambique,1/1/22,191722,2012,31255435
Burma,1/1/22,530946,19272,54409794
Namibia,1/1/22,148839,3645,2540916
Nepal,1/1/22,828773,11594,29136808
Netherlands,1/1/22,3165793,20951,17134873
New Caledonia,1/1/22,12826,281,285491
New Zealand,1/1/22,14255,51,4822233
Nicaragua,1/1/22,13563,217,6624554
Niger,1/1/22,7438,276,24206636
Nigeria,1/1/22,242877,3033,206139587
North Korea,1/1/22,0,0,25778815
North Macedonia,1/1/22,225484,7969,2083380
Northern Mariana Islands,1/1/22,3287,14,57557
Norway,1/1/22,396415,1305,5421242
Oman,1/1/22,305489,4116,5106622
Pakistan,1/1/22,1296527,28941,220892331
Palau,1/1/22,12,0,18092
West Bank and Gaza,1/1/22,469748,4919,5101416
Panama,1/1/22,497808,7430,4314768
Papua New Guinea,1/1/22,36158,590,8947027
Paraguay,1/1/22,466101,16624,7132530
Peru,1/1/22,2301177,202741,32971846
Philippines,1/1/22,2847486,51545,109581085
Poland,1/1/22,4120248,97559,37846605
Portugal,1/1/22,1412936,18976,10196707
Puerto Rico,1/1/22,272724,3308,2860840
Qatar,1/1/22,251361,618,2881060
Reunion,1/1/22,76602,409,895308
Romania,1/1/22,1810342,58779,19237682
Russia,1/1/22,10340011,303496,145934460
Rwanda,1/1/22,112654,1351,12952209
St. Martin (French part),1/1/22,4250,58,38659
Samoa,1/1/22,3,0,198410
San Marino,1/1/22,8202,100,33938
São Tomé and Príncipe,1/1/22,3903,57,219161
Saudi Arabia,1/1/22,557082,8878,34813867
Senegal,1/1/22,75337,1890,16743930
Serbia,1/1/22,1300949,12739,6802111
