Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,570005017,7312.875304338391,6637125,85.15094789824796,1019583,6384128,81.90512468934155,13148,0.16868217232102223,1882,
United States of America,Americas,89428046,27017.32,856441,258.741,117592,1017366,307.359,2529,0.764,195
India,South-East Asia,43938764,3183.958,135145,9.793,18313,526167,38.128,342,0.025,57
Brazil,Americas,33621965,15817.678,282150,132.739,30609,677143,318.566,1625,0.764,179
France,Europe,32664720,50223.004,454372,698.611,87562,148254,227.945,687,1.056,119
Germany,Europe,30598385,36791.626,542459,652.255,85680,143545,172.599,146,0.176,11
The United Kingdom,Europe,23213017,34194.113,9285,13.677,0,182727,269.167,0,0,0
Italy,Europe,20772833,34829.502,473820,794.447,88651,171232,287.102,1019,1.709,253
Republic of Korea,Western Pacific,19446946,37931.061,509036,992.869,100285,24932,48.63,167,0.326,25
Russian Federation,Europe,18554036,12713.951,49307,33.787,9027,382272,261.948,275,0.188,36
Türkiye,Europe,15524071,18406.738,0,0,0,99184,117.601,0,0,0
Spain,Europe,13203228,27894.568,71069,150.148,39089,110394,233.23,723,1.527,207
Japan,Western Pacific,11680821,9235.569,1211381,957.792,180226,32048,25.339,438,0.346,108
Viet Nam,Western Pacific,10767948,11062.364,5415,5.563,0,43092,44.27,1,0.001,0
Argentina,Americas,9507562,21036.396,41735,92.343,0,129278,286.04,76,0.168,0
Australia,Western Pacific,9185633,36022.254,339388,1330.939,46442,11304,44.33,585,2.294,104
Netherlands,Europe,8320281,47796.871,28019,160.959,4453,22476,129.116,37,0.213,11
Iran (Islamic Republic of),Eastern Mediterranean,7348963,8749.5,59421,70.745,11035,141758,168.774,226,0.269,41
Mexico,Americas,6628541,5141.084,79615,61.749,4231,327109,253.705,216,0.168,20
Colombia,Americas,6247634,12278.457,24137,47.436,0,140603,276.327,238,0.468,0
Indonesia,South-East Asia,6178873,2258.991,29789,10.891,0,156929,57.373,54,0.02,0
Poland,Europe,6058462,15960.904,19570,51.557,3719,116535,307.009,49,0.129,11
China,Western Pacific,5513700,374.754,175950,11.959,27069,23396,1.59,501,0.034,43
Portugal,Europe,5328850,51756.965,29277,284.356,5607,24565,238.59,72,0.699,9
Ukraine,Europe,5021612,11482.233,0,0,0,108699,248.547,0,0,0
Austria,Europe,4753092,53399.144,76771,862.492,9290,20278,227.815,52,0.584,5
Malaysia,Western Pacific,4659710,14396.929,29747,91.908,4759,35932,111.018,70,0.216,9
Thailand,South-East Asia,4582168,6564.713,16314,23.373,2747,31258,44.782,208,0.298,34
Israel,Europe,4565464,52746.143,36515,421.868,5459,11336,130.968,59,0.682,1
Belgium,Europe,4398161,38170.396,15333,133.071,0,32179,279.272,58,0.503,0
Greece,Europe,4349423,40578.408,136077,1269.545,0,30999,289.208,271,2.528,0
Chile,Americas,4195780,21948.817,50328,263.274,4433,59393,310.695,253,1.323,10
Canada,Americas,4023104,10659.445,32020,84.839,0,42477,112.545,227,0.601,0
South Africa,Africa,4002981,6749.4,1537,2.592,0,101955,171.906,16,0.027,0
Czechia,Europe,3975717,37177.293,16838,157.454,3437,40420,377.971,49,0.458,7
Switzerland,Europe,3930663,45416.944,26849,310.227,14,13415,155.004,17,0.196,0
Peru,Americas,3845093,11661.743,83648,253.695,5994,214071,649.254,231,0.701,43
Philippines,Western Pacific,3757762,3429.207,20676,18.868,2360,60694,55.387,53,0.048,0
Denmark,Europe,3224908,55384.497,12716,218.384,2095,6618,113.657,51,0.876,7
Romania,Europe,3024064,15645.348,49184,254.459,12353,65894,340.91,70,0.362,32
Sweden,Europe,2533978,24536.007,2373,22.977,0,19249,186.384,3,0.029,0
Iraq,Eastern Mediterranean,2435440,6054.921,21968,54.616,2654,25297,62.893,23,0.057,4
Serbia,Europe,2095066,30246.214,31172,450.026,6100,16229,234.296,51,0.736,6
Bangladesh,South-East Asia,2002944,1216.195,3549,2.155,0,29275,17.776,25,0.015,0
Hungary,Europe,1965481,20118.489,14402,147.418,14402,46790,478.938,54,0.553,54
Slovakia,Europe,1814507,33245.68,6120,112.132,1119,20206,370.217,23,0.421,5
Jordan,Eastern Mediterranean,1709879,16758.371,4763,46.682,0,14074,137.938,4,0.039,0
Georgia,Europe,1686218,42269.843,10253,257.021,10253,16859,422.619,5,0.125,5
Singapore,Western Pacific,1677126,28667.145,61059,1043.683,12419,1487,25.417,30,0.513,4
Ireland,Europe,1639459,33024.047,1280,25.783,0,7620,153.492,5,0.101,0
New Zealand,Western Pacific,1577414,32711.277,58242,1207.781,8945,2083,43.196,280,5.806,44
Pakistan,Eastern Mediterranean,1551251,702.266,4048,1.833,371,30470,13.794,25,0.011,1
Norway,Europe,1454671,27101.059,1277,23.791,250,3623,67.498,27,0.503,0
Kazakhstan,Europe,1427536,7602.696,16724,89.068,2709,19022,101.306,2,0.011,1
Morocco,Eastern Mediterranean,1258761,3410.3,5420,14.684,743,16224,43.955,31,0.084,9
Bulgaria,Europe,1200550,17270.418,11550,166.152,2191,37350,537.296,43,0.619,8
Lithuania,Europe,1179372,42209.521,7108,254.394,1459,9205,329.445,13,0.465,0
Croatia,Europe,1178958,29051.505,9616,236.954,1266,16249,400.403,80,1.971,14
Finland,Europe,1171032,21194.029,0,0,0,5012,90.71,0,0,0
Lebanon,Eastern Mediterranean,1161100,17011.345,16951,248.35,1471,10515,154.056,21,0.308,3
Tunisia,Eastern Mediterranean,1128693,9550.126,14323,121.19,14323,29041,245.722,99,0.838,99
Cuba,Americas,1107610,9778.825,680,6.004,100,8529,75.301,0,0,0
Slovenia,Europe,1075227,51302.4,11494,548.414,2949,7893,376.599,7,0.334,1
Costa Rica,Americas,1028375,20187.499,0,0,0,8690,170.589,0,0,0
Guatemala,Americas,1017542,5679.652,32297,180.273,876,18940,105.718,101,0.564,6
Bolivia (Plurinational State of),Americas,1007919,8634.603,33914,290.533,4519,22025,188.683,36,0.308,4
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
United Arab Emirates,Eastern Mediterranean,985524,9964.448,9344,94.475,1257,2332,23.578,5,0.051,0
Nepal,South-East Asia,984475,3378.802,2073,7.115,0,11959,41.044,5,0.017,0
Uruguay,Americas,969803,27918.203,1995,57.431,0,7403,213.114,16,0.461,0
Ecuador,Americas,954844,5412.011,19023,107.821,999,35793,202.873,19,0.108,1
Panama,Americas,948473,21982.021,6390,148.096,0,8412,194.958,17,0.394,0
Mongolia,Western Pacific,939010,28643.287,4976,151.786,347,2119,64.637,0,0,0
Latvia,Europe,858728,45014.376,11019,577.614,2111,5887,308.596,9,0.472,3
Puerto Rico,Americas,838301,29302.484,18126,633.587,372,4732,165.405,41,1.433,4
Saudi Arabia,Eastern Mediterranean,808419,2322.118,3142,9.025,366,9243,26.55,10,0.029,3
Azerbaijan,Europe,796882,7859.436,1969,19.42,306,9739,96.053,12,0.118,4
Paraguay,Americas,701060,9829.04,12240,171.608,0,19147,268.446,64,0.897,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,682096,13370.724,10057,197.141,0,5678,111.302,14,0.274,0
