global_covid_metrics2022_H1
Country,Date,Confirmed Cases,Confirmed Deaths,Population
Afghanistan,2022-01-01,158107,7356,38928341
Albania,2022-01-01,210224,3217,2877800
Algeria,2022-01-01,218818,6284,43851043
American Samoa,2022-01-01,11,0,55197
Andorra,2022-01-01,23740,140,77265
Angola,2022-01-01,82398,1772,32866268
Anguilla,2022-01-01,1674,5,15002
Antarctica,2022-01-01,11,0,
Antigua and Barbuda,2022-01-01,4283,119,97928
Argentina,2022-01-01,5674428,117181,45195777
Armenia,2022-01-01,344980,7975,2963234
Aruba,2022-01-01,20982,181,106766
Australia,2022-01-01,462955,2257,25499881
Austria,2022-01-01,1274628,16845,9006400
Azerbaijan,2022-01-01,617311,8365,10139175
Bahamas,2022-01-01,24476,717,393248
Bahrain,2022-01-01,282677,1394,1701583
Bangladesh,2022-01-01,1585909,28076,164689383
Barbados,2022-01-01,28810,262,287371
Belarus,2022-01-01,700421,5594,9449321
Belgium,2022-01-01,2105343,28331,11589616
Belize,2022-01-01,32840,602,397621
Benin,2022-01-01,24935,161,12123198
Bermuda,2022-01-01,6420,110,62273
Bhutan,2022-01-01,2660,3,771612
Bolivia,2022-01-01,599753,19680,11673029
Bosnia and Herzegovina,2022-01-01,291313,13442,3280815
Botswana,2022-01-01,219509,2444,2351625
Brazil,2022-01-01,22295621,619367,212559409
British Virgin Islands,2022-01-01,3492,39,30237
Brunei,2022-01-01,15470,98,437483
Bulgaria,2022-01-01,748184,30983,6948445
Burkina Faso,2022-01-01,17632,318,20903278
Burundi,2022-01-01,27366,38,11890781
Cambodia,2022-01-01,120507,3012,16718971
Cameroon,2022-01-01,109367,1851,26545864
Canada,2022-01-01,2256747,30616,37742157
Cape Verde,2022-01-01,42463,352,555988
"Bonaire, Sint Eustatius and Saba",2022-01-01,3429,23,26221
Cayman Islands,2022-01-01,8943,12,65720
Central African Republic,2022-01-01,12163,101,4829764
Chad,2022-01-01,6183,184,16425859
Channel Islands,2022-01-01,0,0,173859
Chile,2022-01-01,1808398,39140,19116209
China,2022-01-01,145182,5699,1471286879
Colombia,2022-01-01,5169855,129986,50882884
Comoros,2022-01-01,6688,157,869595
Congo (Brazzaville),2022-01-01,20089,367,5518092
Congo (Kinshasa),2022-01-01,74793,1205,89561404
Cook Islands,2022-01-01,2,0,17564
Costa Rica,2022-01-01,570556,7353,5094114
Cote d'Ivoire,2022-01-01,71815,718,26378275
